ID;sectors
1001;BroadCastingAsset                    
1002;DomainNameSystem                     
1003;TelecommunicationsAsset              
1101;CriticalDataStorageOrProcessingAsset 
1201;CritcialDefenceIndustryAsset         
1301;ElectricityGeneration                
1302;ElectricityTransmission              
1303;ElectricityInterconnectors          
1304;ElectricityDistribution              
1305;LiquidFuelPipeline                   
1306;LiquidFuelRefinery                   
1307;LiquidFuelStorage                    
1308;GasProcessing                        
1309;GasStorage                           
1310;GasDistribution                      
1311;GasTransmission                      
1312;EnergyMarketOperator                
1401;BankingAsset                         
1402;FinancialMarketInfrastructure        
1403;CleaningAndSettlementFacility        
1404;SignificantFinancialBenchmark        
1405;DerivativeTradeRepository           
1406;PaymentSystem                        
1407;Insurance                           
1408;LifeInsurance                        
1409;HealthInsurance                      
1410;Superannuation                       
1501;FoodandGrocery                       
1601;Hospital                             
1701;Education                            
1901;Aviation                             
1902;FreightInfrastructure                
1903;FreightServices                      
1904;Port                                 
1905;PublicTransport                      
2001;WaterUtility                         
2002;WaterDesalination                    
2003;BulkWaterSupplier                    
0000;Others                               
